AgentId;TimeStep;RequestedEnergyInMWH;AwardedEnergyInMWH
100;600591601;;7206.0
100;600595199;7553.0;
100;600595201;;7553.0
100;600598799;7649.0;
100;600598801;;7649.0
100;600602399;7278.0;
100;600602401;;7278.0
100;600605999;7450.0;
100;600606001;;7450.0
100;600609599;7113.0;
100;600609601;;7113.0
100;600613199;7031.0;
100;600613201;;7031.0
100;600616799;7163.0;
100;600616801;;7163.0
100;600620399;7423.0;
100;600620401;;7423.0
100;600623999;8221.0;
100;600624001;;8221.0
100;600627599;9051.0;
100;600627601;;9051.0
100;600631199;8634.0;
100;600631201;;8634.0
100;600634799;7714.0;
100;600634801;;7714.0
100;600638399;6780.0;
100;600638401;;6780.0
100;600641999;6702.0;
100;600642001;;6702.0
100;600645599;6878.0;
100;600645601;;6878.0
100;600649199;7231.0;
100;600649201;;7231.0
100;600652799;5468.0;
100;600652801;;5468.0
100;600656399;5199.0;
100;600656401;;5199.0
100;600659999;5044.0;
100;600660001;;5044.0
100;600663599;5348.0;
100;600663601;;5348.0
100;600667199;5855.0;
100;600667201;;5855.0
100;600670799;6733.0;
100;600670801;;6733.0
100;600674399;8977.0;
100;600674401;;8977.0
100;600677999;10419.0;
100;600678001;;10419.0
100;600681599;10894.0;
100;600681601;;10894.0
100;600685199;11264.0;
100;600685201;;11264.0
100;600688799;11344.0;
100;600688801;;11344.0
100;600692399;11382.0;
100;600692401;;11382.0
100;600695999;10926.0;
100;600696001;;10926.0
100;600699599;10268.0;
100;600699601;;10268.0
100;600703199;10292.0;
100;600703201;;10292.0
100;600706799;10226.0;
100;600706801;;10226.0
100;600710399;10104.0;
100;600710401;;10104.0
100;600713999;10830.0;
100;600714001;;10830.0
100;600717599;10702.0;
100;600717601;;10702.0
100;600721199;9970.0;
100;600721201;;9970.0
100;600724799;8339.0;
100;600724801;;8339.0
100;600728399;6832.0;
100;600728401;;6832.0
100;600731999;6487.0;
100;600732001;;6487.0
100;600735599;6199.0;
100;600735601;;6199.0
100;600739199;6930.0;
100;600739201;;6930.0
100;600742799;6069.0;
100;600742801;;6069.0
100;600746399;5691.0;
100;600746401;;5691.0
100;600749999;5964.0;
100;600750001;;5964.0
100;600753599;5837.0;
100;600753601;;5837.0
100;600757199;5937.0;
100;600757201;;5937.0
100;600760799;5802.0;
100;600760801;;5802.0
100;600764399;6684.0;
100;600764401;;6684.0
100;600767999;7115.0;
100;600768001;;7115.0
100;600771599;9005.0;
100;600771601;;9005.0
100;600775199;7113.0;
100;600775201;;7113.0
100;600778799;6383.0;
100;600778801;;6383.0
100;600782399;6279.0;
100;600782401;;6279.0
100;600785999;6862.0;
100;600786001;;6862.0
100;600789599;7272.0;
100;600789601;;7272.0
100;600793199;7006.0;
100;600793201;;7006.0
100;600796799;7057.0;
100;600796801;;7057.0
100;600800399;8915.0;
100;600800401;;8915.0
100;600803999;9563.0;
100;600804001;;9563.0
100;600807599;9276.0;
100;600807601;;9276.0
100;600811199;9088.0;
100;600811201;;9088.0
100;600814799;8008.0;
100;600814801;;8008.0
100;600818399;7225.0;
100;600818401;;7225.0
100;600821999;6740.0;
100;600822001;;6740.0
100;600825599;6633.0;
100;600825601;;6633.0
100;600829199;6083.0;
100;600829201;;6083.0
100;600832799;5966.0;
100;600832801;;5966.0
100;600836399;5035.0;
100;600836401;;5035.0
100;600839999;4832.0;
100;600840001;;4832.0
100;600843599;4789.0;
100;600843601;;4789.0
100;600847199;4945.0;
100;600847201;;4945.0
100;600850799;5877.0;
100;600850801;;5877.0
100;600854399;6175.0;
100;600854401;;6175.0
100;600857999;6728.0;
100;600858001;;6728.0
100;600861599;7060.0;
100;600861601;;7060.0
100;600865199;7151.0;
100;600865201;;7151.0
100;600868799;7200.0;
