AgentId;TimeStep;RequestedEnergyInMWH;AwardedEnergyInMWH
5;947645999;9645.9376;
5;947646004;;0.0
5;947649599;9919.4955;
5;947649604;;0.0
5;947653199;10589.9727;
5;947653204;;0.0
5;947656799;12025.5824;
5;947656804;;0.0
5;947660399;14928.278;
5;947660404;;0.0
5;947663999;17556.1731;
5;947664004;;0.0
5;947667599;18066.2896;
5;947667604;;0.0
5;947671199;18068.3458;
5;947671204;;0.0
5;947674799;18190.3964;
5;947674804;;0.0
5;947678399;17658.4412;
5;947678404;;0.0
5;947681999;17678.9116;
5;947682004;;0.0
5;947685599;17686.0609;
5;947685604;;0.0
5;947689199;17438.6511;
5;947689204;;0.0
5;947692799;16813.0905;
5;947692804;;0.0
5;947696399;16455.0544;
5;947696404;;0.0
5;947699999;16335.1267;
5;947700004;;0.0
5;947703599;16090.346;
5;947703604;;0.0
5;947707199;15143.042;
5;947707204;;0.0
5;947710799;13894.1172;
5;947710804;;0.0
5;947714399;12567.0572;
5;947714404;;0.0
5;947717999;11283.3686;
5;947718004;;0.0
5;947721599;10228.3538;
5;947721604;;0.0
5;947725199;9872.4532;
5;947725204;;0.0
5;947728799;9808.5777;
5;947728804;;0.0
5;947732399;9856.5739;
5;947732404;;0.0
5;947735999;10068.3167;
5;947736004;;0.0
5;947739599;10696.6989;
5;947739604;;0.0
5;947743199;12156.2983;
5;947743204;;0.0
5;947746799;15081.2709;
5;947746804;;0.0
5;947750399;17581.6249;
5;947750404;;0.0
5;947753999;17995.3689;
5;947754004;;0.0
5;947757599;17995.2609;
5;947757604;;0.0
5;947761199;17998.2435;
5;947761204;;0.0
5;947764799;17492.1517;
5;947764804;;0.0
5;947768399;17702.0563;
5;947768404;;0.0
5;947771999;17717.6651;
5;947772004;;0.0
5;947775599;17361.4257;
5;947775604;;0.0
5;947779199;16599.0991;
5;947779204;;0.0
5;947782799;16219.807;
5;947782804;;0.0
5;947786399;16115.8682;
5;947786404;;0.0
5;947789999;15917.966;
5;947790004;;0.0
5;947793599;15103.544;
5;947793604;;0.0
5;947797199;13895.5907;
5;947797204;;0.0
5;947800799;12488.029;
5;947800804;;0.0
5;947804399;11221.7477;
5;947804404;;0.0
5;947807999;10100.0516;
5;947808004;;0.0
5;947811599;9738.3598;
5;947811604;;0.0
5;947815199;9643.7821;
5;947815204;;0.0
5;947818799;9732.731;
5;947818804;;0.0
5;947822399;9909.5796;
5;947822404;;0.0
5;947825999;10493.473;
5;947826004;;0.0
5;947829599;11903.0068;
5;947829604;;0.0
5;947833199;14816.3922;
5;947833204;;0.0
5;947836799;17354.1;
5;947836804;;0.0
5;947840399;17692.4641;
5;947840404;;0.0
5;947843999;17773.5134;
5;947844004;;0.0
