AgentId;TimeStep;OfferedEnergyInMWH;AwardedEnergyInMWH;EnergyImbalaceInMWH;ReceivedMarketRevenues
2;971409599;2191.937831176826;;;
2;971409604;;2189.105831176826;0.0;
2;971413199;2285.170318991624;;;
2;971413204;;2281.9287067274377;0.0;
2;971416799;2540.4838931458826;;;
2;971416804;;2451.454657329799;0.0;
2;971420399;2645.8923315128054;;;
2;971420404;;2485.4126882818955;0.0;
2;971423999;2680.578077508983;;;
2;971424004;;2436.4657543695375;0.0;
2;971427599;2677.7278348706936;;;
2;971427604;;2387.5733282396814;0.0;
2;971431199;2739.9924482024708;;;
2;971431204;;2394.8943638990936;0.0;
2;971434799;2939.866913481601;;;
2;971434804;;2591.638162804516;0.0;
2;971438399;3048.3127283301237;;;
2;971438404;;2733.398856694411;0.0;
2;971441999;3067.322008702087;;;
2;971442004;;2765.623133829971;0.0;
2;971445599;3063.096705267135;;;
2;971445604;;2836.6612928109225;0.0;
2;971449199;3064.1556070992765;;;
2;971449204;;2949.604837818222;0.0;
2;971452799;2962.5557730759087;;;
2;971452804;;2957.400934106261;0.0;
2;971456399;2842.3464861636044;;;
2;971456404;;2839.5144861636045;0.0;
2;971459999;2700.463571003508;;;
2;971460004;;2697.6315710035083;0.0;
2;971463599;2767.247585118373;;;
2;971463604;;2764.415585118373;0.0;
2;971467199;2908.871132069561;;;
2;971467204;;2906.039132069561;0.0;
2;971470799;2955.6701088195587;;;
2;971470804;;2952.838108819559;0.0;
2;971474399;3017.4935888863724;;;
2;971474404;;3014.6615888863726;0.0;
2;971477999;3081.4431241739917;;;
2;971478004;;3078.611124173992;0.0;
2;971481599;3259.218147683;;;
2;971481604;;3256.386147683;0.0;
2;971485199;3228.0339612374096;;;
2;971485204;;3225.2019612374097;0.0;
2;971488799;3275.2812778042085;;;
2;971488804;;3272.4492778042086;0.0;
2;971492399;3328.715397903435;;;
2;971492404;;3325.8833979034353;0.0;
2;971495999;3337.369485830683;;;
2;971496004;;3334.537485830683;0.0;
2;971499599;3370.609684955471;;;
2;971499604;;3367.5012043870543;0.0;
2;971503199;3538.1864278667636;;;
2;971503204;;3356.3780324336585;0.0;
2;971506799;3781.0449411452805;;;
2;971506804;;3369.5995131030686;0.0;
2;971510399;3966.2538056783114;;;
2;971510404;;3347.8765061221725;0.0;
2;971513999;4123.555005872216;;;
2;971514004;;3371.0319066405496;0.0;
2;971517599;4206.575418720503;;;
2;971517604;;3411.062182275072;0.0;
2;971521199;4024.9387896958087;;;
2;971521204;;3312.7363201790204;0.0;
2;971524799;3852.8032390503386;;;
2;971524804;;3270.590036908364;0.0;
2;971528399;3681.57303167453;;;
2;971528404;;3223.5481604051374;0.0;
2;971531999;3488.361614744623;;;
2;971532004;;3154.7563745011985;0.0;
2;971535599;3269.3482219748903;;;
2;971535604;;3099.749409362822;0.0;
2;971539199;3128.877355022244;;;
2;971539204;;3124.116345500289;0.0;
2;971542799;3206.4478869782693;;;
2;971542804;;3203.6158869782694;0.0;
2;971546399;3337.1582669393138;;;
2;971546404;;3334.326266939314;0.0;
2;971549999;3305.751005385677;;;
2;971550004;;3302.9190053856773;0.0;
2;971553599;3363.826323059529;;;
2;971553604;;3360.994323059529;0.0;
2;971557199;3492.7628126201976;;;
2;971557204;;3489.9308126201977;0.0;
2;971560799;3513.2553054796795;;;
2;971560804;;3510.4233054796796;0.0;
2;971564399;3527.7381709122956;;;
2;971564404;;3524.9061709122957;0.0;
2;971567999;3526.05332930497;;;
2;971568004;;3523.22132930497;0.0;
2;971571599;3493.656898358287;;;
2;971571604;;3490.824898358287;0.0;
2;971575199;3480.7474230297657;;;
2;971575204;;3477.915423029766;0.0;
2;971578799;3447.726690671693;;;
2;971578804;;3444.8946906716933;0.0;
2;971582399;3311.3473978022357;;;
2;971582404;;3308.515397802236;0.0;
2;971585999;3259.259351733349;;;
2;971586004;;3256.2949916740995;0.0;
2;971589599;3187.209738021126;;;
2;971589604;;3110.5468773876673;0.0;
2;971593199;3210.8192709299574;;;
2;971593204;;3091.8727676396616;0.0;
2;971596799;3288.7658608093548;;;
2;971596804;;3119.91096271064;0.0;
2;971600399;3432.784526576098;;;
2;971600404;;3227.526696644162;0.0;
2;971603999;3584.178687596209;;;
2;971604004;;3351.4496819479973;0.0;
2;971607599;3583.2031544980814;;;
2;971607604;;3379.145948689309;0.0;
2;971611199;3481.3290782359522;;;
2;971611204;;3320.1157591559986;0.0;
2;971614799;3276.8529505226493;;;
2;971614804;;3137.94456814425;0.0;
