AgentId;TimeStep;OfferedPowerInMW;AwardedPowerInMWH;CostsInEUR;ReceivedMoneyInEUR
20132800050;969382806;;;;4680000.0
20132800050;969386398;1560.0;;;
20132800050;969386405;;1560.0;84198.3742410909;
20132800050;969386406;;;;4680000.0
20132800050;969389998;1560.0;;;
20132800050;969390005;;1560.0;84198.3742410909;
20132800050;969390006;;;;4680000.0
20132800050;969393598;1560.0;;;
20132800050;969393605;;1560.0;84198.3742410909;
20132800050;969393606;;;;4680000.0
20132800050;969397198;1560.0;;;
20132800050;969397205;;1560.0;84198.3742410909;
20132800050;969397206;;;;4680000.0
20132800050;969400798;1560.0;;;
20132800050;969400805;;1560.0;84198.3742410909;
20132800050;969400806;;;;4680000.0
20132800050;969404398;1560.0;;;
20132800050;969404405;;0.0;0.0;
20132800050;969404406;;;;0.0
20132800050;969407998;1560.0;;;
20132800050;969408005;;0.0;0.0;
20132800050;969408006;;;;0.0
20132800050;969411598;1560.0;;;
20132800050;969411605;;0.0;0.0;
20132800050;969411606;;;;0.0
20132800050;969415198;1560.0;;;
20132800050;969415205;;0.0;0.0;
20132800050;969415206;;;;0.0
20132800050;969418798;1560.0;;;
20132800050;969418805;;0.0;0.0;
20132800050;969418806;;;;0.0
20132800050;969422398;1560.0;;;
20132800050;969422405;;0.0;0.0;
20132800050;969422406;;;;0.0
20132800050;969425998;1560.0;;;
20132800050;969426005;;0.0;0.0;
20132800050;969426006;;;;0.0
20132800050;969429598;1560.0;;;
20132800050;969429605;;0.0;0.0;
20132800050;969429606;;;;0.0
20132800050;969433198;1560.0;;;
20132800050;969433205;;0.0;0.0;
20132800050;969433206;;;;0.0
20132800050;969436798;1560.0;;;
20132800050;969436805;;0.0;0.0;
20132800050;969436806;;;;0.0
20132800050;969440398;1560.0;;;
20132800050;969440405;;0.0;0.0;
20132800050;969440406;;;;0.0
20132800050;969443998;1560.0;;;
20132800050;969444005;;0.0;0.0;
20132800050;969444006;;;;0.0
20132800050;969447598;1560.0;;;
20132800050;969447605;;0.0;0.0;
20132800050;969447606;;;;0.0
20132800050;969451198;1560.0;;;
20132800050;969451205;;0.0;0.0;
20132800050;969451206;;;;0.0
20132800050;969454798;1560.0;;;
20132800050;969454805;;0.0;0.0;
20132800050;969454806;;;;0.0
20132800050;969458398;1560.0;;;
20132800050;969458405;;0.0;0.0;
20132800050;969458406;;;;0.0
20132800050;969461998;1560.0;;;
20132800050;969462005;;0.0;0.0;
20132800050;969462006;;;;0.0
20132800050;969465598;1560.0;;;
20132800050;969465605;;849.613662468897;45856.467380064154;
20132800050;969465606;;;;47980.50153623639
20132800050;969469198;1560.0;;;
20132800050;969469205;;1560.0;84198.3742410909;
20132800050;969469206;;;;4680000.0
20132800050;969472798;1560.0;;;
20132800050;969472805;;1560.0;84198.3742410909;
20132800050;969472806;;;;4680000.0
20132800050;969476398;1560.0;;;
20132800050;969476405;;1560.0;84198.3742410909;
20132800050;969476406;;;;4680000.0
20132800050;969479998;1560.0;;;
20132800050;969480005;;1560.0;84198.3742410909;
20132800050;969480006;;;;4680000.0
20132800050;969483598;1560.0;;;
20132800050;969483605;;1560.0;84198.3742410909;
20132800050;969483606;;;;4680000.0
20132800050;969487198;1560.0;;;
20132800050;969487205;;1560.0;84198.3742410909;
20132800050;969487206;;;;4680000.0
20132800050;969490798;1560.0;;;
20132800050;969490805;;702.5475470313986;37918.8213378911;
20132800050;969490806;;;;39675.1902054696
20132800050;969494398;1560.0;;;
20132800050;969494405;;1560.0;84198.3742410909;
20132800050;969494406;;;;4680000.0
20132800050;969497998;1560.0;;;
20132800050;969498005;;1560.0;84198.3742410909;
20132800050;969498006;;;;4680000.0
20132800050;969501598;1560.0;;;
20132800050;969501605;;1163.9518149458527;62822.34007269737;
20132800050;969501606;;;;65732.21961006199
20132800050;969505198;1560.0;;;
20132800050;969505205;;887.8654294300903;47921.04211723182;
20132800050;969505206;;;;50140.70569080704
20132800050;969508798;1560.0;;;
20132800050;969508805;;560.4927723170385;30251.653976267033;
20132800050;969508806;;;;31652.885907059626
20132800050;969512398;1560.0;;;
20132800050;969512405;;0.0;0.0;
20132800050;969512406;;;;0.0
20132800050;969515998;1560.0;;;
20132800050;969516005;;0.0;0.0;
20132800050;969516006;;;;0.0
20132800050;969519598;1560.0;;;
20132800050;969519605;;0.0;0.0;
